Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка,ID
Специалист по кибербезопасности (SOC),Газпромнефть-Снабжение,Документировать создаваемые правила корреляции. Вносить изменения в ранее созданные правила корреляции. Имеешь опыт разработки правил корреляции в SIEM системах. ,,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118042307,118042307
Комендант вахтового городка,Сибгидромехстрой,Среднее профессиональное (техническое) образование. Опыт работы по специальности не менее 3 лет. Хозяйственный подход к делу. Коммуникабельность.,"Обеспечение бесперебойного функционирования вахтового поселка (инфраструктура: вагончики, баня, прачечная, столовая, медпункт)",160000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/119410726,119410726
Специалист по защите информации,ГБУЗ НО Городская больница № 24 Автозаводского района г. Нижнего Новгорода,Высшее образование в области информационной безопасности.,Обеспечение защиты информации в автоматизированных системах в медицинском учреждении.,40000 -  RUR,Нет опыта,https://hh.ru/vacancy/120316863,120316863
Специалист по информационной безопасности,Айтат Цифровизация,Опыт работы на позиции Специалиста ИБ от 1 года,"Продажа и сопровождение программного обеспечения (1С, Гранд Смета). Предоставление услуг IT-аутсорсинга",80000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120381675,120381675
SRE-инженер,Яндекс,Отвечать за здоровье и аптайм базовой инфраструктуры. Работали с Unix-системами (Linux или FreeBSD),Улучшать архитектуру систем управления и автоматизации работы кластера. Делать инфраструктурное облако масштабируемым и высокодоступным,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120554122,120554122
Специалист по гражданской обороне и защите в чрезвычайных ситуациях,ГБУЗ МО Шаховская центральная районная больница,"Высшее образование, предпочтительно по специальности. Опыт работы на аналогичных должностях не менее 3 лет. Уверенный пользователь ПК.",Реализация мероприятий по пожарной безопасности. Проведение мероприятий по обучению сотрудников действиям во время ЧС,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120975975,120975975
Младший сетевой инженер - стажёр,Инфосистемы Джет,,"Параллельно с виртуальными задачами вы будете выполнять учебные задания на реальном оборудовании cisco, huawei, qtech",Не указана,Нет опыта,https://hh.ru/vacancy/118074588,118074588
"Специалист по информационной безопасности, информационным технологиям",Министерство труда и социальной политики Приморского края,"Желательно знание ОС семейства Linux, в т.ч. отечественные аналоги Astra Linux, РЕД ОС и т.д.","Внедрение (установка, настройка, администрирование) отечественного программного обеспечения, программно-аппаратных средств (Astra Linux Special Edition, Numa Server)",89000 - 92000 RUR,Нет опыта,https://hh.ru/vacancy/120449678,120449678
Методолог информационной безопасности (гибридный формат),ГНИВЦ,Релевантный опыт работы от 3 лет. Аналитический склад ума,"Сбор, анализ, формализация и согласование с Заказчиком требований по информационной безопасности к разрабатываемому ПО",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120616746,120616746
Специалист по пожарной безопасности,ДАЛИМО,Опыт работы не менее 3-х лет в аналогичной должности. Образование не ниже средне-специального,Обеспечение эксплуатации и технического обслуживания системы противопожарного оборудования объектов организации. Организация и проведение обучения работников по вопросам пожарной безопасности. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121079790,121079790
Инженер инфраструктурных решений,Системный софт,"Опыт настройки групповых политик (GPO). - Понимание принципов работы почтовых систем (транспортировка, обработка, хранение писем)",Участие в проектах полного цикла: от проектирования и тестирования до внедрения и поддержки,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/114929423,114929423
Ведущий инженер по тестированию АСУ,ТЕХПРОМ,"Умение диагностировать ошибки технологического оборудования. Понимание работы технологического (гидравлика, электропривод) оборудования. Знание и понимание отраслевых стандартов",Проведение Отладочных и сопровождение Пусконаладочных работ на объектах заказчика. Организация процесса тестирования и самостоятельное тестирование систем АСУ,150000 - 170000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118415838,118415838
Инженер по информационной безопасности,ЭКРА Автоматизация,"Постоянное совершенствование своих знаний в области ИТ, ИБ, защиты ОКИИ и нормативной базы в области ИБ и ОКИИ. ",Участие в проведении предпроектного обследования ОКИИ Заказчика. - Участие в создании отчетов после предпроектного обследования ОКИИ Заказчика,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120781555,120781555
Менеджер проектов (Информационная безопасность),Angara Security,Знания в области ИТ/ИБ. Знания в области проектного управления. Умение работать в режиме многозадачности,"Управление проектами на всех этапах жизненного цикла (трудозатраты, бюджет проекта, сроки). Решение ресурсных конфликтов",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120820288,120820288
Старший инженер по эксплуатации объектов сети связи (ЦОД),БЮРО 1440,Опыт эксплуатации систем инженерной инфраструктуры узлов сети связи. Высшее образование в области телекоммуникаций,"Обеспечением бесперебойной работы инженерных систем и систем безопасности на узлах сети. Выявлением причин аварий, их анализ, предложение мероприятий по профилактике. ",Не указана,Более 6 лет,https://hh.ru/vacancy/120896884,120896884
Инженер по информационной безопасности,МегаФон,Высшее образование по направлению Информационная безопасность. Опыт администрирования СЗИ до 1 года. Знание организационных и технических способов защиты информации. ,"Администрирование, тестирование, внедрение и поддержка различных типов СЗИ. Инженерную и технологическая поддержка внедрения новых решений по защите информации. ",100000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120151617,120151617
DevOps / DataOps-инженер,TWIN,Опыт работы на позиции DevOps или аналогичной не менее 2-х лет,"Поддержка и оптимизация платформы Big Data, используя действующий стек инструментов",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120890454,120890454
Заместитель начальника отдела защиты информации,ФИНСТАР БАНК,,"Аналитическая работа по выявлению угроз информационной безопасности инфраструктуры Банка. Мониторинг и сопровождение SIEM, DLP, СЗИ",150000 - 150000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120954855,120954855
Инженер по сетевой безопасности,АйСи Инвест,"Понимание процессов информационной безопасности. Знание сетей IP. Разграничение сетевых доступов, работа Умение выявлять проблемы в неработающих сетевых доступах. ","Эксплуатация сетевых средств защиты информации (СЗИ) компании, в том числе: NGFW, IPS, WAF, IPSec VPN, RA VPN, СКЗИ. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121065507,121065507
Специалист по промышленной безопасности и производственному контролю,Туапсинский морской торговый порт,Высшее образование,"Проведение комплексных проверок, осуществление производственного контроля за соблюдением требований промышленной безопасности при вводе в эксплуатацию опасных производственных объектов. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119827585,119827585
Специалист по пожарной безопасности,Юпитер,Образование высшее. Навыки ПК Ms Office,,230000 - 230000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120625292,120625292
DevOps-инженер,KODE,"Понимание архитектур современных систем мониторинга (Icinga2/Zabbix/etc.). Опыт администрирования серверов Linux, MAC систем. Опыт работы с системами мониторинга. ","Решение задач по развертыванию тестовых стендов для мобильных приложений (dev, staging, production). Обеспечения работоспособности действующих сервисов и информационных систем. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120910005,120910005
DevOps Engineer,Островок,От 3-х лет работы на схожей позиции. И владеешь английским на уровне Intermediate (B1),Построение отказоустойчивых инфраструктур. Масштабирование инфраструктуры под высокие нагрузки. Настройка процессов сборки и доставки кода. Автоматизация и оптимизация рутинных действий. ,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117211364,117211364
Начальник отдела информатизации и защиты информации,Мэрия города муниципального образования Город Биробиджан Еврейской автономной области,,1) обеспечение реализации единой технической политики по созданию информационных систем и защите информации в мэрии города,73000 - 97000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120451013,120451013
Инженер Linux,Rubytech,Хорошие знания Linux и сопутствующих технологий с позиции системного администратора,,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119905234,119905234
