Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка,ID
Младший специалист фрод-мониторинга,Т-Банк,Специалиста со средним специальным образованием или высшим. Обладаете аналитическим складом ума. Умеете грамотно и структурированно излагать мысли,Осуществлять круглосуточный онлайн мониторинг банковских операций на предмет мошенничества. Связываться с клиентами для проверки правомерности операции и идентификации. ,47000 -  RUR,Нет опыта,https://hh.ru/vacancy/120079595,120079595
Сетевой администратор,Вычислительные решения,"Опыт настройки сетевого оборудования Mikrotik, Cisco, Arista, Huawei. Опыт системного администрирования Windows Server, Linux, администрирование Exchange","Администрирование серверной инфраструктуры и серверов Windows Server. Конфигурирование/администрирование сетевого оборудования (Mikrotik, Arista, Juniper, Cisco, Huawei). Построение новых сетей. ",160000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120975509,120975509
Инженер по информационной безопасности (SOC),Хелоу,Опыт работы в SOC или в области информационной безопасности от 1 года,Мониторинг событий информационной безопасности. Первичный анализ и классификация инцидентов ИБ. Реагирование на инциденты ИБ согласно установленным процедурам (playbooks). ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121047923,121047923
Специалист по информационной безопасности,ПКО Филберт,"Опыт работы в области информационной безопасности не менее 1 года. Опыт работы с IDS, IPS",1. Разработка и внедрение мер по защите информации и данных компании от внешних угроз. 2,120000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117578380,117578380
Инженер отдела защиты информации,Каскад,Высшее образование. Готовность к командировкам по ЮФО.,Проведение специальных проверок. Проведение специальных исследований. Аттестация объектов информатизации. Монтаж и установка средств защиты информации.,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120710274,120710274
Инженер отдела информационно-технического сопровождения,Бизнес-Навигация,Образование Высшее техническое,Подбор оборудования согласно ТЗ Заказчика. Контроль и планирование занятости монтажников. Работа с клиентами и техническая поддержка,80000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120800381,120800381
Ведущий инженер радиорелейной транспортной сети/технический менеджер,Интроконнект,"Работа с большим объёмом информации, мультизадачность. Высокая скорость восприятия и обработки информации. Опыт работы с радиорелейным и коммутационным оборудованием обязателен. ",Получение и обработка входящих проектов по организации радиорелейных пролётов и включений B2B-клиентов,90000 - 170000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121036815,121036815
Техник отдела технического обеспечения мультимедийных аудиторий,МГИМО,"Среднее профессиональное образование в области IT. Уверенные знания операционных систем: Windows XP, 7, 8, 8.1, 10","Подготовка аудиторий к занятиям с использованием технических средств обучения (компьютеры, проекторы, системы звукоусиления). Оказание технических консультаций преподавателям",67240 -  RUR,Нет опыта,https://hh.ru/vacancy/119810010,119810010
Мобильный системный инженер,"МАГНИТ, Розничная сеть","Уверенный пользователь ПК. Знание основ сетевых технологий, локальных сетей. Навыки блочного ремонта ПК, ККТ и оргтехники","Техническая поддержка пользователей. Диагностика неисправностей, ремонт, модернизация и настройка компьютерного оборудования. Установка и настройка ОС и офисных приложений. ",97500 - 97500 RUR,Нет опыта,https://hh.ru/vacancy/120335908,120335908
Инженер по АСУП,Камский Бекон,"Уверенный пользователь​​​​​​​, преимуществом будет знание Brain2, ClariSoft, Labelstar Office.","Обслуживание, настройка и ремонт оборудования. Подготовка и контроль информации на оборудовании. Настройка и обслуживание оборудования.",93900 -  RUR,Нет опыта,https://hh.ru/vacancy/120643999,120643999
Системный инженер (информационная безопасность),Регнанс Групп,"Понимаешь принципы работы и администрирования ОС Windows Server (инсталляция, администрирование, решение проблем, знание AD, DNS, GPO)",Участие в проектах по внедрению и поддержке автоматизированных ИБ-систем,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120692575,120692575
SRE-инженер,LIFE PAY,"Опыт работы от 3 до 6 лет в должности DevOps/SRE инженера, с успешной реализацией проектов и достижением поставленных целей. ",Разрабатывать инструменты для повышения надежности информационных систем. Участвовать в устранении сбоев и выявление их причин. Повышать Observability приложений. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/116549861,116549861
Администратор систем безопасности,WILDBERRIES,Опыт работы с *nix-системами. Взаимодействие с open-source решениями на GitHub,"Администрирование более 200 серверов видеонаблюдения по всей России (мониторинг, оперативное реагирование на проблемы и их решение)",140000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/118439175,118439175
Специалист по IT (ремонт пк),Тимошенко Екатерина Викторовна,"Ищем начинающего IT-специалиста, жаждущего знаний и готового к взлету! Ты - любознательный, с горящими глазами и желанием покорить мир технологий? ","Компьютерный мастер, ремонт компьютеров, системный администратор, ремонт телевизоров, ремонт ноутбук, чистка пк, замена термопасты.",60000 - 150000 RUR,Нет опыта,https://hh.ru/vacancy/120201799,120201799
Инженер сетевой безопасности / Настройка и сопровождение VipNet,СК СОГАЗ-Мед,Высшее техническое образование. Опыт настройки и администрирования VipNet и координаторов от 3-х лет,"Администрирование сетей VipNet, координаторов",325000 - 325000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/109463202,109463202
Специалист по информационной безопасности,Клиника Будь Здоров,"Опыт работы со средствами обеспечения ИБ (IPS/IDS, Антивирусная защита (Kaspersky), Антиспам, DLP, сканеры уязвимостей)",Сопровождение и совершенствование процессов управления и обеспечения ИБ,200000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118113359,118113359
Государственный инспектор в области охраны окружающей среды,КГКУ Дирекция по ООПТ,,Обеспечивает функционирование ООПТ регионального значения в зоне деятельности,40000 - 45000 RUR,Нет опыта,https://hh.ru/vacancy/119092979,119092979
Сетевой инженер,Хартия,"Знания на уровне CCNA, CCNP. Знания на уровне CCNA, CCNP. Общие знания в области информационной безопасности","Аудит и оптимизация сетевой инфраструктуры на оборудовании Cisco (Catalyst, ISR, ASA) и Mikrotik",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121078565,121078565
Специалист по информационной безопасности,Филиал ФКУ Центр по обеспечению деятельности Казначейства России по обеспечению услугами в области информационных технологий,"Навыки внедрения и администрирование продуктов АПКШ «Континент», либо ПАК VipNet","Внедрение и администрирование решений на базе оборудования АПКШ «Континент», ПАК VipNet. Удалённая поддержка специалистов в решении проблем с СКЗИ. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120375902,120375902
Руководитель отдела защиты информации,Чайкина Людмила Владимировна,"Высшее образование в сфере информационных технологий, и/или информационной безопасности. (Возможно наличие профессиональной переподготовки по специальности ""Информационная безопасность""). ","Вакансия открыта в рамках нового стратегического проекта «Геоцифра», реализуемого при поддержке Правительства Московской области и АО «Мособлгеотрест»",250000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120522534,120522534
DevOps-инженер,Evercode Lab,Глубокие знания Linux серверов. Базовые знания сетевых протоколов. Знание Bash. Опыт работы с контейнеризацией и виртуализацией,"Обеспечение бесперебойной работы инфраструктуры, включая управление серверами, сетевыми устройствами, безопасность данных. Обработка инцидентов, восстановление после сбоев. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120835451,120835451
Начальник отдела информационной безопасности,Сигнал,Имеете высшее техническое образование по направлению информационная безопасность (или профессиональная переподготовка по направлению ИБ в объеме 512 часов). ,,94500 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120890501,120890501
Стажер - специалист по внутренней безопасности,Эр-1,,Участие в разработке новых и оптимизации существующих корреляционных правил с целью исключения ложных срабатываний,Не указана,Нет опыта,https://hh.ru/vacancy/118552336,118552336
DevOps специалист,Dexsys,"Понимание процессов на всех этапах разработки и поддержки приложения, роли девопс-инженера в команде",Поддержка и развитие нескольких продуктовых команд. Повышение SLA сервисов компании. Участие в архитектурном планировании для новых приложений. Проведение релизов. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/119369258,119369258
Специалист по информационной безопасности,ДОСТАЕВСКИЙ,Релевантный опыт работы в направлении информационной безопасности от 1 года в качестве инженера или аналитика по информационной безопасности. ,Управлять правами доступа к информационным системам компании. Организовывать процесс анализа защищенности информационных систем. Организовывать процесс анализа сетевой безопасности ресурсов компании. ,180000 - 180000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120232599,120232599
Инспектор по информационным технологиям,ФГКОУ Объединенный Санкт-Петербургский Кадетский Корпус Следственного Комитета Российской Федерации имени Маршала Советского Союза Г.К. Жукова,"Высшее техническое образование. Стаж работы — не менее года в области технической поддержки, системного администрирования. Уверенные знания ОС семейства Microsoft/Linux. ",Работа с серверами на базе Windows Server и Linux. Организация новых рабочих мест пользователей,75000 - 77000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120332076,120332076
Мобильный системный инженер,Союз 76,"Опыт работы в аналогичной сфере приветствуется. Коммуникабельность, ответственность, желание развиваться и обучаться. Понимание принципа работы сети.","Обеспечение работоспособности и обслуживание IT-оборудования (рабочие места, ТСД, активное сетевое оборудование и т.д.). Удаленное администрирование",100000 -  RUR,Нет опыта,https://hh.ru/vacancy/120572500,120572500
Специалист по антитеррористической защищенности и безопасности,ФГБУ НМИЦ РК Минздрава России,,"Проведение категорирования и разработка (актуализация) паспорта безопасности объекта (территории). Осуществление мероприятий, направленных на обеспечение антитеррористической защищенности и безопасности объекта (территории). ",25000 - 30000 RUR,Нет опыта,https://hh.ru/vacancy/120621709,120621709
Специалист по информационной безопасности (стажер),Правительство Москвы,"Высшее образование (рассматриваются также студенты выпускных курсов). Плюсом будет образование в области защиты информации, информационной безопасности или цифрового права.",Техническая поддержка оборудования ИБ. Участие в анализе событий информационной безопасности веб-приложений. Мониторинг системы защиты,32500 - 65000 RUR,Нет опыта,https://hh.ru/vacancy/120124049,120124049
Инженер по IT системам,Ростелеком - Центры обработки данных,"Опыт работы от 1 лет. Образование: среднее специальное, высшее. Уверенные знания Active Directory, DNS, DHCP, RDS, VoIP","Настройка, эксплуатация и администрирование серверного оборудования и ОС семейства Windows Server (AD, DNS, DHCP, GPO) и Linux",100000 - 100000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/115695887,115695887
Начальник информационно-аналитического отдела,ГБУ Дом молодежи Санкт-Петербурга,Иметь налаженные рабочие контакты с ключевыми представителями средств массовой информации. Профильное высшее образование,Разрабатывать рекламную и PR-стратегии продвижения и развития учреждения,85000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118781271,118781271
Специалист отдела мониторинга информационной безопасности (SOC L1/L2),Центр Информационных технологий Роскадастр-Инфотех Филиал Роскадастр,Высшее образование по направлению «Информационная безопасность» или переподготовка по направлению «Информационная безопасность» 512 ч.,"Мониторинг, выявление и анализ инцидентов информационной безопасности L1/L2. Выявление индикаторов компрометации (IoC), индикаторов атак (IoA). ",93000 - 163000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118803561,118803561
Платформенный инженер / Devops Engineer,STARTRIBE LTD,Какие навыки нужны: Глубокие знания Kubernetes и Helm. Опыт установки и обновления k8s (в компании kubespray). ,Управление большим парком кластеров Kubernetes (преимущественно Bare Metal) и инфраструктурными компонентами,6000 -  EUR,От 3 до 6 лет,https://hh.ru/vacancy/120535650,120535650
Инженер по эксплуатации ИТ-оборудования в ЦОД,Группа компаний Астра,"Навыки настройки и диагностики ПК, серверного оборудования, систем хранения данных. Готовность к выездам в ЦОД (3 локации, Москва). ","Пуско-наладка ИТ-оборудования в ЦОД как в качестве исполнителя, так и в качестве координатора работ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120877338,120877338
Специалист по информационной безопасности,КГБУЗ Красноярская межрайонная больница №3,,,60000 -  RUR,Нет опыта,https://hh.ru/vacancy/117479191,117479191
DevOps-инженер,Прософт-Системы,"Законченное высшее инженерное/ИТ/математическое образование. Базовое понимание bash, powershell, python. Знание языка SQL и опыт администрирования БД СУБД. ",Поддерживать работу инфраструктурных сервисов. Поддерживать CI/CD для проектов компании.,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119099026,119099026
Инженер-инсталлятор,AUVIX,"Опыт работы в сфере настройки и монтажа AV-оборудования, ЛВС, администрирования ПК, сетевого оборудования","Конфигурирование различных устройств AV, AVoIP-оборудования и устройств для работы в едином AV-комплексе",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119241782,119241782
Специалист по информационной безопасности,Кортэл,"Наличие пройденных курсов повышения квалификации в области КИИ, ГИС, требований ЦБ РФ. Наличие сертификатов ISO.","Обеспечивает поставку лучших IT решений каждому клиенту, превосходя их ожидания",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119496284,119496284
DevOps-инженер,"Центр-инвест, коммерческий банк","Уверенное владение Linux. Уверенное понимание TCP/IP, DNS, VPN, NAT, routing. CI/CD: GitLab CI, Docker, Docker Compose, Kubernetes. ","Развёртывание и сопровождение вычислительных кластеров (Spark, Dask, Ray). Управление контейнеризированной инфраструктурой. Администрирование систем оркестрации задач. Поддержка среды для машинного обучения. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119927949,119927949
Ведущий специалист по сетевой инфраструктуре / Сетевой инженер,Энергодиагностика,Знание современных телекоммуникационных технологий. Опыт построения распределительных корпоративных сетей передачи данных - VIPNET,"Сопровождение комплексных инфраструктурных решений в части сетей передачи данных. Инсталляция, настройка, диагностика неисправностей и сопровождение сетевого оборудования на площадках Заказчиков. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120009403,120009403
Инженер отдела информационно-технического сопровождения,Бизнес-Навигация,"Образование высшее/среднее техническое. Личностные компетенции: Хорошие коммуникативные навыки, грамотная речь, обучаемость, высокая степень самостоятельности, ответственность, пунктуальность",Планирование занятости монтажников. Контроль за выполнением установок оборудования. Техническая поддержка и отработка заявок клиентов. Работа с программными продуктами компании.,65000 - 75000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120096799,120096799
Сетевой инженер,MosLine,"Высшее техническое образование в области информационных технологий, компьютерных наук или смежных специальностей","Настройка протоколов OSPF, BGP, DHCP, VRRP, RSTP, LACP, L2TP, SNMP, BFD, LDP, ERPS",287000 - 287000 RUR,Более 6 лет,https://hh.ru/vacancy/120487604,120487604
Аналитик по источникам данных (уязвимостей),Р-Вижн,"Системное мышление, включая умение ставить гипотезы и проверять их на практике. Знание Git, Python - ваши хорошие друзья","Проводить поиск, разбор и последующий анализ источников данных, предоставляющих информацию по уязвимостям",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120637124,120637124
DevOps-инженер,Банк ПСБ,Уверенные знание и навыки работы с операционной системой Astra Linux. Опыт работы с Gitlab/Git,"Сборка, отладка и установка новых версий информационных систем (ИС). Анализ ошибок, моделирование проблемных ситуаций, подготовка рекомендации по доработке/настройке ИС. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120547132,120547132
Инженер по настройке и тестированию,Специальный Технологический Центр (ООО СТЦ),"Высшее инженерно-техническое образование (радиоэлектроника, радиотехника, схемотехника, связь). Знание основ построение радиотехнических. приемо-передающих систем. Навыки работы с измерительным оборудованием. ","Тестирование, настройка аппаратно-программных средств радиоэлектронных систем. Установка и тестирование ПО. Проведение лабораторных измерений параметров радиоэлектронной аппаратуры",90000 - 150000 RUR,Нет опыта,https://hh.ru/vacancy/120713347,120713347
Менеджер ИБ,Spice IT,от 3-х лет на аналогичной позиции. - опыт с SOC,"На этой роли нужно будет координировать работу с подрядчиками, которые предоставляет SOC",Не указана,Более 6 лет,https://hh.ru/vacancy/120989016,120989016
DevOps инженер,MANGO OFFICE,Глубокие знания Linux (опыт администрирование от 3 лет). Понимание паттернов построения отказоустойчивых и высокодоступных систем,Разработка решений CI/CD для продуктов компании. Развитие инфраструктурной платформы на основе kubernetes,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120992279,120992279
Стажер по информационной безопасности (инженер внедрения СЗИ),Инфосистемы Джет,ТОП-3 ИБ-интеграторов по версии CNews Analytics. 550+ ИБ-экспертов с отраслевым опытом.,29 лет работы на рынке ИБ. Собственная ежегодная конференция ИБ – Jet Security Conference. Онлайн-конференция CyberCamp с киберучениями.,Не указана,Нет опыта,https://hh.ru/vacancy/120997192,120997192
Системный инженер облако,Рунити,"Опыт администрирования GNU/Linux (сетевая конфигурация, траблшутинг, работа с контейнерами, systemd). Опыт администрирования систем виртуализации. Опыт администрирование систем оркестрации контейнеров. ","Разрабатывать новые облачные сервисы и услуги (IaaS, PaaS, SaaS). Участвовать в выборе архитектуры при создании новых сервисов",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116009287,116009287
Специалист по IT,ЦИТСиЗИ УМВД России по Забайкальскому краю,,Администрирование и техническое сопровождение сетевого и серверного оборудования.,50000 -  RUR,Нет опыта,https://hh.ru/vacancy/120369121,120369121
Мобильный инженер,Союз 76,"Знание ПК (уверенный пользователь). Опыт ремонта ПК на уровне блочного ремонта. Оперативность, внимательность. Опыт работы в аналогичной сфере приветствуется. ","Ремонт и обслуживание IT-оборудования на объектах заказчика (рабочие места, сервера, кассовые терминалы, система видеонаблюдения, ТСД, ПЧ и т.д.). ",90000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120495998,120495998
Специалист по информационной безопасности,Системы документооборота,,"Разработка архитектуры систем обеспечения информационной безопасности. Проектирование объектов, средств и систем защиты в защищенном исполнении",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120872502,120872502
Монтажник слаботочных систем,Дон Апекс,"Навыки работы с электроинструментом, базовые знания сетевых технологий.","Прокладка UTP, ВОЛС — магистральных и к абонентам. Первоначальная настройка ПК/Роутеров, установка/монтаж кронштейнов, шкафов.",60000 -  RUR,Нет опыта,https://hh.ru/vacancy/121046243,121046243
DevOps-инженер,"Северная, Птицефабрика",Знание Linux-стека на уровне администратора. Опыт работы с web-серверами,"Поддержка и улучшение процессов CI/CD. Взаимодействие с подразделениями разработки. Мониторинг, диагностика неполадок, оперативное устранение",120000 - 150000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120005140,120005140
Специалист по пожарной безопасности,НПО Алмаз,Опыт работы по профилю не менее 1 года (желательно). Наличие действующей формы допуска к гос. тайне (желательно).,"Осуществлять контроль над состоянием и работоспособностью систем противопожарной защиты, противопожарным водопроводом и путей эвакуации.",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120875316,120875316
Сетевой инженер,Интеллектика,"Опыт в области системного администрирования: уверенное владение основными операционными системами семейства Windows, Linux, MacOS на уровне External Administrator. ","Разрабатывать технические решения в области проводных и беспроводных сетей передачи данных, систем видеонаблюдения, IP-телефонии и видеоконференцсвязи",80000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120878309,120878309
Старший инженер по информационной безопасности,LK Consulting,"Понимание ИТ/ИБ-инфраструктуры: сети, виртуализация, криптография. ️Опыт внедрения NGFW/UTM, СКЗИ",,230000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121081473,121081473
Специалист по информационной безопасности,Актив,,"Проведение внутренних аудитов информационной безопасности. Сопровождение инцидентов информационной безопасности на всех стадиях: предупреждение, обнаружение, реагирование, устранение последствий, анализ. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119697500,119697500
Специалист по информационной безопасности,"ИНВЕСТ, ООО ФПК",Высшее техническое образование в сфере ИТ или ИБ. Опыт работы на аналогичной позиции от 1 года,"Контроль выполнения требований информационной безопасности. Обеспечение бесперебойного функционирования систем защиты информации (SIEM, сканеры уязвимости и др.)",80000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120307846,120307846
Системный инженер,Инфоком-Авиа,Навыки работы с консолью ОС UNIX (Astra Linux). - Знания PostgreSQL. - Опыт работы с системой мониторинга Zabbix и аналогами. - ,"Инфоком-Авиа - это уникальный инновационный проект, который предоставляет сервис цифровой связи между воздушными судами и центрами управления полетами авиаперевозчиков. - ",100000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120325578,120325578
Ведущий сетевой инженер,Точка Связи,Опыт работы в ISP или интеграторе на позиции сетевого инженера от 3-х лет (уровень знаний не ниже ССIE). ,"Управление, развитие и эксплуатация IP/MPLS сети интернет провайдера. Troubleshooting сложных технических кейсов.",300000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120421892,120421892
Инженер СХД,Oxygen Data Centers & Clouds,"Понимание, что такое система хранения данных, её компонентов и взаимодействия между ними",,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120711621,120711621
"Аналитик SOC L1 [Кибербезопасность, МТС Веб Сервисы]",МТС,Понимание основных векторов атак на корпоративные сети и способов противодействия,"Проводить мониторинг событий безопасности в режиме реального времени. Выявлять инциденты, связанные с информационной безопасностью. Расследовать инциденты кибербезопасности, составлять отчёты. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120877808,120877808
Сетевой инженер,Шлюмберже,"Высшее образование в области IT. Опыт 2-5 лет в проектировании, развертывании и обслуживании сети","Поддержка корпоративной сети. Изучение сетевых продуктов, услуг, протоколов и стандартов, чтобы быть в курсе событий в сетевой индустрии. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121022914,121022914
Ведущий инженер,Магистраль северной столицы,Опыт в аналогичной должности от 5-ти лет,"Сопровождение сервисного оборудования, дисковых хранилищ, ленточных накопителей. Администрирование SAN. Администрирование Linux (Ubuntu, CentOS, Debian, RedOs, OraceLinux)",180000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/117892645,117892645
Администратор систем безопасности,WILDBERRIES,Опыт работы с *nix-системами. Взаимодействие с open-source решениями на GitHub,"Администрирование более 200 серверов видеонаблюдения по всей России (мониторинг, оперативное реагирование на проблемы и их решение)",140000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/118439126,118439126
Мобильный системный инженер,Компания ИТЛ,Есть опыт работы с IT-оборудованием (включая бытовой опыт),Выезжать на торговые точки заказчика (Х5 ритейл),90000 - 100000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120125858,120125858
IT-Инженер (Системный администратор),Би Ай Решения,Опыт работы в IT: 1-3 года. Профессиональные навыки: Уверенное владение Windows. Опыт работы с серверами и виртуализацией. ,Обеспечение стабильной работы компьютерного парка организации. Техническая поддержка пользователей и решение возникающих IT-проблем. Настройка и обслуживание рабочих мест сотрудников. ,50000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120555547,120555547
Сетевой администратор,Ventra,"Высшее образование, среднее-специальное. Опыт работы от 1 года. Сертификаты, подтверждающие знание конкретной технологии или линейки продуктов вендора (как преимущество). ",Организация архитектуры сети. Настройка магистрального оборудования. Ведение нормативных документов по организации сети. Руководство отделом связи,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121032041,121032041
Инженер СХД,Платформикс,"Знания и опыт в области корпоративного оборудования: СХД (в приоритете), серверы, коммутаторы\маршрутизаторы",Пуско-наладочные работы СХД (и сопутствующего оборудования: сервера и коммутаторы),Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118437505,118437505
Администратор информационных систем ИБ (linux),Банк ВТБ (ПАО),Образование высшее по специальности: ИБ/ИТ. Уверенные навыки администрирования Linux,Обеспечение бесперебойной работы компонентов СЗИ. Обработка и устранение инцидентов и технических сбоев в работе СЗИ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120286280,120286280
Системный инженер,АльфаСтрахование,Опыт работы от 3 до 6 лет в аналогичной должности,"Администрирование AD, DNS, DHCP в географически-распределенной среде. Управление нагруженными Windows серверами и Failover Clusters",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120848139,120848139
DevOps-инженер,Банк ПСБ,Уверенные знания в администрировании Linux Servers. Опыт работы с СУБД PostgreSQL. Опыт работы со стеком ELK,"Создание, поддержка и развитие механизмов автоматизированной поставки (CI/CD). Сборка, отладка, автоматизация и установка релизов на контурах систем банка. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/107347109,107347109
Pentester (Пентестер),Лига Цифровой Экономики,"Опыт проведения пентестов и Red team-проектов, хорошее знание методологий тестирования на проникновение (PTES, OWASP и пр.)",,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/109297384,109297384
Специалист отдела информационного сопровождения,ГБУЗ ЦЛО ДЗМ,Высшее техническое образование,Сопровождение баз данных льготного лекарственного обеспечения (ЛЛО). Разработка новых функционалов программы ЛЛО.,80000 -  RUR,Нет опыта,https://hh.ru/vacancy/115617623,115617623
Сетевой аналитик,Новые Телеком Решения (НТР),"Знание стека LTE. Знание процедур RRC, S1AP. Знание спецификаций 3GPP. Опыт работы в Linux","Проработка и согласование интерфейсов взаимодействия систем, входящих в стек базовой станции. Анализ и проектирование процедур базовой станции",170000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120237109,120237109
